id,geartype,comment,IMR_name,vocabLabel,vocabURI,group,recommendedSampleTypes,recommendedChildren
7c329aae-bfe1-11ec-9d64-0242ac120002,500 ml bottle,,,,,Water,,"{'sampleTypes': 'Sea water, Melt pond water, Under ice water'}"
7c329de2-bfe1-11ec-9d64-0242ac120002,Active water sampler,In situ filtration of sea water,,,,Water,,{'sampleTypes': 'Sea water'}
7c32a2f6-bfe1-11ec-9d64-0242ac120002,ADCP,,,,,Water,,{'sampleTypes': ''}
7c32a4e0-bfe1-11ec-9d64-0242ac120002,Algal Incubator,,,,,Water,,{'sampleTypes': ''}
7c32a63e-bfe1-11ec-9d64-0242ac120002,ARGO,Float,,,,Water,,{'sampleTypes': ''}
7c32aa62-bfe1-11ec-9d64-0242ac120002,ASSIST,Arctic Shipborne Sea Ice Standardization Tool,,,,Snow and Ice,,{'sampleTypes': ''}
7c32abf2-bfe1-11ec-9d64-0242ac120002,AUV,,,,,UVs,,{'sampleTypes': ''}
7c32ad3c-bfe1-11ec-9d64-0242ac120002,Beam trawl,,Bunntrål,Unknown beam trawl,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0651/,Nets and Trawls,,{'sampleTypes': ''}
7c32aecc-bfe1-11ec-9d64-0242ac120002,Bongonet 180 um,,,Bongo net,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/,Nets and Trawls,,{'sampleTypes': ''}
7c32b020-bfe1-11ec-9d64-0242ac120002,Bongonet 64 um,,,Bongo net,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/,Nets and Trawls,,{'sampleTypes': ''}
7c32b192-bfe1-11ec-9d64-0242ac120002,Bottle 1L,,,,,Water,,"{'sampleTypes': 'Sea water, Melt pond water, Under ice water'}"
7c32b30e-bfe1-11ec-9d64-0242ac120002,Box core,,Box core,Unspecified box corer,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1177/,Benthos,,{'sampleTypes': ''}
7c32b44e-bfe1-11ec-9d64-0242ac120002,Bucket,,,Bucket,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0536/,Water,,{'sampleTypes': ''}
7c32b912-bfe1-11ec-9d64-0242ac120002,Calypso,Piston corer,,,,Benthos,,{'sampleTypes': ''}
7c32bad4-bfe1-11ec-9d64-0242ac120002,Camera,,,,,Not grouped,,{'sampleTypes': ''}
7c32bc14-bfe1-11ec-9d64-0242ac120002,Campelen trawl with fish lift,,,,,Nets and Trawls,,{'sampleTypes': ''}
7c32bdae-bfe1-11ec-9d64-0242ac120002,Campelen trawl,Without fish lift,,,,Nets and Trawls,,{'sampleTypes': ''}
7c32bf16-bfe1-11ec-9d64-0242ac120002,Cast away CTD,,,,,Water,,{'sampleTypes': ''}
7c32c074-bfe1-11ec-9d64-0242ac120002,CMET Balloon,,,,,Air,,{'sampleTypes': ''}
7c32c1fa-bfe1-11ec-9d64-0242ac120002,CTD w/bottles,,CTD med vannhenter,,,Water,,"{'sampleTypes': 'Niskin, L-ADCP'}"
7c32c344-bfe1-11ec-9d64-0242ac120002,CTD,,CTD,"Conductivity, temperature and depth package",http://vocab.nerc.ac.uk/collection/L22/current/TOOL0001/,Water,,"{'sampleTypes': 'Niskin, L-ADCP'}"
7c32c6d2-bfe1-11ec-9d64-0242ac120002,Drone,,,,,Air,,{'sampleTypes': ''}
7c32c83a-bfe1-11ec-9d64-0242ac120002,EK80,Fish echo sounder,,Simrad EK80 echo sounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1205/,Echo Sounders,,{'sampleTypes': ''}
7c32c9d4-bfe1-11ec-9d64-0242ac120002,EM-bird,,,,,Air,,{'sampleTypes': ''}
7c32cb46-bfe1-11ec-9d64-0242ac120002,EM302,Echo Sounder,,Kongsberg EM 302 multibeam echosounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0744/,Echo Sounders,,{'sampleTypes': ''}
